PM10,PM2.5
32.0,11.0
31.000000000000004,12.0
35.0,13.0
34.0,13.0
27.999999999999996,16.0
41.0,19.0
55.0,23.0
58.0,30.999999999999996
66.0,40.0
78.0,46.0
84.0,44.0
79.0,44.0
78.0,47.0
80.0,47.0
81.0,46.0
77.0,47.0
77.0,50.0
85.0,52.0
84.0,50.0
84.0,49.0
83.0,44.0
74.0,42.0
78.0,50.0
103.0,61.00000000000001
122.0,73.0
114.0,61.00000000000001
95.0,52.0
82.0,40.0
76.0,26.0
79.0,41.0
81.0,51.0
78.0,47.0
79.0,45.0
87.0,42.0
99.0,40.0
100.0,41.0
30.995440189074614,30.995440189074607
88.0,30.0
88.0,28.0
92.0,25.0
90.99999999999999,22.0
84.0,19.0
78.0,19.0
76.0,19.0
74.0,21.0
71.0,23.0
78.0,27.0
84.0,35.0
90.0,34.0
88.0,33.0
79.0,35.0
69.0,30.999999999999996
64.0,26.0
62.00000000000001,27.0
60.0,30.999999999999996
58.99999999999999,27.0
58.99999999999999,26.0
62.00000000000001,23.0
66.0,21.0
70.0,29.0
65.0,34.0
62.00000000000001,35.0
55.99999999999999,29.0
55.0,22.0
55.99999999999999,21.0
54.0,21.0
53.0,25.0
60.0,28.0
71.0,29.0
77.0,35.0
73.0,40.0
63.0,34.0
57.0,27.0
54.0,23.0
48.0,20.0
48.0,20.0
44.0,20.0
55.0,21.0
64.0,27.0
60.0,29.0
61.0,28.0
58.99999999999999,23.0
61.0,26.0
69.0,30.0
67.0,28.0
57.0,20.0
54.0,20.0
58.99999999999999,24.0
58.99999999999999,20.0
47.0,16.0
39.0,17.0
40.0,17.0
34.0,11.0
32.0,10.0
38.0,16.0
41.0,20.0
41.0,17.0
38.0,17.0
35.0,14.0
32.0,11.0
31.000000000000004,11.0
35.0,11.0
38.0,12.0
36.0,16.0
36.0,16.0
35.0,19.0
37.0,22.0
40.0,20.0
42.0,19.0
40.0,17.0
37.0,19.0
34.0,21.0
34.0,19.0
33.0,17.0
35.0,18.0
39.0,20.0
44.0,20.0
51.0,27.0
48.99999999999999,25.0
38.0,20.0
29.0,11.0
20.0,4.0
16.0,3.0
13.000000000000002,6.0
10.0,8.0
13.000000000000002,7.0
15.0,6.0
18.0,9.0
26.000000000000004,8.0
32.0,12.0
40.0,21.0
48.99999999999999,27.0
52.00000000000001,26.0
52.00000000000001,26.0
54.0,30.0
