TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
42455.67,3,26,2016,16,1.24059,113.013,22.1182,0.364583,1019.48,137.343,29.2881,79.941,46.2062,53.791
42455.71,3,26,2016,17,0.99872,96.285,21.4237,0.358767,1019.73,29.7822,29.4063,87.603,49.9536,57.47
42455.75,3,26,2016,18,0.99572,125.739,20.99,0.359722,1020.19,4.42543,28.8219,96.707,59.214,66.725
42455.79,3,26,2016,19,1.77677,165.972,20.5509,0.362326,1020.94,1.14175,27.8521,104.881,58.533,67.533
42455.83,3,26,2016,20,1.72377,151.496,19.9639,0.361458,1022.09,1.11988,27.6222,82.741,48.4786,55.906
42455.88,3,26,2016,21,1.94092,155.358,19.6042,0.3602,1023.18,1.11137,27.3905,79.84,44.4862,51.883
42455.92,3,26,2016,22,1.55763,163.468,19.3276,0.360503,1023.8,1.12292,27.1255,77.596,44.6015,51.515
42455.96,3,26,2016,23,1.30474,167.904,19.0807,0.361675,1024,1.11076,26.8781,83.459,46.5252,54.089
42456.00,3,27,2016,0,1.06053,195.834,18.9454,0.362326,1023.83,1.10226,26.605,96.913,47.8845,58.208
42456.04,3,27,2016,1,0.66587,237.627,18.8263,0.361111,1023.26,1.11076,26.0435,95.912,50.995,60.073
42456.08,3,27,2016,2,0.71343,313.229,18.5589,0.360807,1022.87,1.10469,25.9658,95.403,52.495,61.27
42456.13,3,27,2016,3,0,502,18.4356,0.362023,1022.63,1.098,25.9983,112.457,51.367,64.592
42456.17,3,27,2016,4,0,502,18.4016,0.359592,1022.44,1.07613,25.9632,89.542,51.382,60.187
42456.21,3,27,2016,5,0.58466,331.406,18.3316,0.362717,1022.39,1.12049,25.9886,88.45,54.937,63.164
42456.25,3,27,2016,6,0.66147,359.17,18.2156,0.36276,1022.92,1.10469,26.034,112.031,65.623,78.398
42456.29,3,27,2016,7,0.63461,317.651,18.3079,0.36237,1023.86,7.7201,25.7565,118.095,75.995,86.657
42456.33,3,27,2016,8,0.62876,11.065,18.7142,0.362109,1024.53,53.588,25.8506,123.331,74.902,87.209
42456.38,3,27,2016,9,0.57842,19.5434,19.0395,0.362804,1025,86.447,26.1887,119.821,76.697,87.216
42456.42,3,27,2016,10,0.71201,41.4402,19.6358,0.361328,1025.09,194.812,26.5132,104.748,65.87,74.38
42456.46,3,27,2016,11,0.73849,29.251,20.4086,0.361068,1024.9,233.33,27.2463,93.189,59.523,66.517
42456.50,3,27,2016,12,0.68573,30.9994,20.5139,0.361241,1024.24,141.936,27.999,78.559,51.5,57.584
42456.54,3,27,2016,13,0.64669,40.948,20.4712,0.359592,1023.37,90.36,28.474,82,51.758,58.709
42456.58,3,27,2016,14,0.64813,62.223,20.2823,0.360026,1022.35,71.266,28.458,77.403,51.705,57.419
42456.63,3,27,2016,15,0.64353,16.3956,20.2046,0.360373,1021.49,24.8178,28.4073,91.687,57.406,65.053
42456.67,3,27,2016,16,0.77084,320.346,20.2067,0.361936,1021.08,38.1129,28.226,102.119,56.454,65.988
42456.71,3,27,2016,17,0.78202,312.281,20.1388,0.361198,1021.08,17.6276,28.1313,94.478,56.345,64.722
42456.75,3,27,2016,18,0.7776,321.096,19.8817,0.362153,1021.37,1.25781,27.8102,114.955,65.268,75.603
42456.79,3,27,2016,19,0.75667,319.999,19.722,0.361285,1021.76,1.12292,27.1645,120.889,73.418,83.343
42456.83,3,27,2016,20,0.67303,320.722,19.656,0.360764,1022.13,1.10469,27.0151,122.008,76.942,86.808
42456.88,3,27,2016,21,0.88406,321.24,19.4543,0.360286,1022.63,1.07856,26.9929,120.895,74.413,84.544
42456.92,3,27,2016,22,0.77707,318.763,19.254,0.361719,1022.94,1.1053,26.8722,119.149,80.02,89.309
42456.96,3,27,2016,23,0.82379,316.574,19.0612,0.358898,1023.01,1.08524,26.7309,126.606,91.309,100.432
42457.00,3,28,2016,0,0.70118,318.02,18.8704,0.36263,1022.54,1.09861,26.5229,131.27,95.503,105.036
42457.04,3,28,2016,1,0.64601,320.062,18.6182,0.361589,1021.97,1.11866,25.9945,139.301,96.254,107.682
42457.08,3,28,2016,2,0.67364,317.687,18.511,0.361806,1021.22,1.11198,25.9248,123.31,91.219,100.059
42457.13,3,28,2016,3,0.61182,323.105,18.4832,0.361068,1020.52,1.11563,25.8865,118.611,89.844,98.045
42457.17,3,28,2016,4,0.58412,318.79,18.3353,0.362326,1020.01,1.08038,25.8823,111.337,91.644,97.653
42457.21,3,28,2016,5,0.67823,319.372,18.1322,0.362326,1019.99,1.07187,25.913,123.271,101.315,108.801
42457.25,3,28,2016,6,0.81998,324.252,18.1138,0.362457,1020.44,1.11137,25.9586,129.962,98.926,109.231
42457.29,3,28,2016,7,0.57991,24.6573,18.1612,0.361936,1020.86,1.19036,25.7171,156.525,106.842,121.8
42457.33,3,28,2016,8,0.462769,342.724,18.554,0.361806,1021.43,13.9909,25.7682,190.543,112.188,134.553
42457.38,3,28,2016,9,0.68958,346.59,19.0443,0.361458,1022.33,71.424,25.9905,173.428,115.946,131.063
42457.42,3,28,2016,10,0.59003,29.9623,19.4265,0.360026,1022.92,107.311,25.2532,168.66,117.69,132.956
42457.46,3,28,2016,11,0.79167,93.346,20.3254,0.360547,1022.57,197.796,24.9902,131.79,71.542,82.549
42457.50,3,28,2016,12,1.23806,117.741,21.728,0.360764,1021.58,261.344,25.8484,121.647,63.842,75.092
42457.54,3,28,2016,13,1.34631,99.553,22.0708,0.361979,1020.07,254.217,27.1424,94.581,54.848,63.269
42457.58,3,28,2016,14,1.44588,127.63,22.0846,0.361892,1019.19,157.151,28.1695,115.298,63.007,73.912
42457.63,3,28,2016,15,2.16274,130.902,21.9229,0.361372,1018.61,156.104,27.992,128.141,60.511,72.879
42457.67,3,28,2016,16,2.06916,136.395,21.6263,0.359245,1018.1,84.176,27.8124,121.217,65.931,76.371
42457.71,3,28,2016,17,2.16281,123.88,20.9964,0.357031,1018.03,19.1953,27.0056,130.583,65.412,77.079
42457.75,3,28,2016,18,1.5644,110.507,20.5749,0.35816,1018.04,3.07951,27.0745,148.928,71.972,86.25
42457.79,3,28,2016,19,1.86889,119.689,20.2044,0.359462,1018.67,1.06641,26.9767,108.827,56.03,66.779
42457.83,3,28,2016,20,2.40724,98.752,19.4351,0.359418,1019.51,1.04575,26.8468,85.557,50.885,59.108
42457.88,3,28,2016,21,1.97363,99.354,18.8323,0.36046,1020.03,1.05122,26.6134,86.648,48.9958,61.631
42457.92,3,28,2016,22,1.1685,93.364,18.822,0.359679,1020.48,1.10408,26.4027,89.81,53.735,63.037
42457.96,3,28,2016,23,0.91344,83.029,18.7006,0.358811,1020.7,1.07674,26.2573,107.13,65.202,76.811
42458.00,3,29,2016,0,0.93244,75.147,18.5153,0.360938,1020.31,1.05425,26.0681,123.496,74.164,88.504
42458.04,3,29,2016,1,0.78401,67.289,18.427,0.358767,1019.72,0.99835,25.7156,133.839,86.869,100.216
42458.08,3,29,2016,2,0.56676,21.1822,18.1673,0.359158,1019.04,1.01719,25.6735,137.903,104.734,114.39
42458.13,3,29,2016,3,0.59329,24.699,18.0564,0.359549,1018.5,1.03481,25.7686,125.996,102.87,109.807
42458.17,3,29,2016,4,0.365084,33.8334,17.9195,0.360851,1017.98,1.03906,25.6014,135.438,108.582,116.239
42458.21,3,29,2016,5,0.438409,28.8392,17.9802,0.359505,1018,1.03602,25.6976,139.424,113.326,120.922
42458.25,3,29,2016,6,0.55233,73.433,18.3173,0.357856,1018.33,1.01719,25.6677,176.296,113.514,130.206
42458.29,3,29,2016,7,0.68362,46.9314,18.5097,0.359245,1018.9,2.51137,25.532,189.572,113.892,135.236
42458.33,3,29,2016,8,0.74692,130.671,18.7837,0.359418,1019.54,17.6537,25.6268,175.718,96.657,119.606
42458.38,3,29,2016,9,0.62354,128.628,19.2366,0.358116,1020.31,37.4852,25.9216,158.127,91.777,108.393
42458.42,3,29,2016,10,0.58551,119.89,19.682,0.359679,1020.52,46.7274,26.2408,178.371,89.075,107.039
42458.46,3,29,2016,11,0.71892,78.744,19.9515,0.358116,1020.05,83.668,26.5361,171.436,92.717,110.031
42458.50,3,29,2016,12,0.98849,104.938,20.6022,0.356944,1019.04,119.349,26.8664,166.369,83.509,98.77
42458.54,3,29,2016,13,2.01228,140.044,21.2495,0.358377,1017.66,147.679,27.4278,137.916,75.275,88.88
42458.58,3,29,2016,14,1.98056,141.647,21.7612,0.359375,1016.44,175.812,28.0253,92.37,51.235,60.756
42458.63,3,29,2016,15,2.21819,138.777,22.1545,0.359115,1015.6,127.054,28.4841,108.931,52.068,64.299
42458.67,3,29,2016,16,1.95223,130.059,22.1232,0.359245,1014.85,89.872,28.7266,134.86,62.903,78.491
42458.71,3,29,2016,17,1.87366,109.379,21.6565,0.358681,1014.68,37.8942,28.7109,111.732,52.775,66.624
42458.75,3,29,2016,18,1.91425,104.096,21.1803,0.356033,1014.94,3.67439,28.4848,102.805,53.984,69.673
42458.79,3,29,2016,19,1.95188,123.43,20.8748,0.355729,1015.2,1.06215,28.0364,92.557,53.929,64.867
42458.83,3,29,2016,20,1.51278,98.875,20.3523,0.357552,1015.63,1.08099,27.714,100.414,61.763,73.55
42458.88,3,29,2016,21,1.6352,99.214,20.2967,0.357639,1016.26,1.05972,27.449,99.004,61.164,71.894
42458.92,3,29,2016,22,1.33696,96.411,20.4375,0.35599,1017.16,1.04757,27.3464,96.031,58.498,69.09
42458.96,3,29,2016,23,1.98259,131.175,20.3542,0.359028,1017.09,1.07248,27.3125,88.424,56.563,65.451
42459.00,3,30,2016,0,1.73955,137.387,20.2096,0.358767,1017.07,1.05729,26.9642,87.533,50.853,61.95
42459.04,3,30,2016,1,1.29116,137.734,20.0947,0.358984,1016.7,1.06276,26.0499,87.391,49.3407,60.934
42459.08,3,30,2016,2,1.57249,141.586,19.8482,0.360026,1016.1,1.08585,25.7997,80.514,50.349,58.772
42459.13,3,30,2016,3,1.93487,142.161,19.5119,0.359245,1015.61,1.09497,25.7256,83.28,54.317,62.53
42459.17,3,30,2016,4,1.71876,147.71,19.4173,0.359505,1015.37,1.08099,25.6654,85.945,55.963,64.353
42459.21,3,30,2016,5,1.35139,146.348,19.4333,0.357378,1015.53,1.09253,25.5984,71.184,54.13,59.348
42459.25,3,30,2016,6,1.52562,157.983,19.4995,0.358377,1015.98,1.11198,25.7335,80.572,53.998,61.407
42459.29,3,30,2016,7,1.45832,156.149,19.6828,0.360851,1016.41,9.1924,25.9841,98.853,56.849,68.769
42459.33,3,30,2016,8,2.01336,164.195,20.234,0.358854,1016.85,66.959,26.3452,98.469,52.662,66.713
42459.38,3,30,2016,9,1.82394,165.007,21.2522,0.35816,1017.52,117.804,27.0548,86.76,48.872,59.665
42459.42,3,30,2016,10,1.9053,146.285,22.2852,0.360938,1017.42,227.583,27.7826,90.751,44.5856,55.584
42459.46,3,30,2016,11,2.12999,135.464,22.7898,0.359071,1017.18,176.5,28.6705,82.974,41.4338,51.467
42459.50,3,30,2016,12,2.40704,132.606,23.8178,0.35829,1016.26,360.117,29.0136,80.82,39.7523,48.4709
42459.54,3,30,2016,13,2.10238,142.413,23.901,0.358854,1015.15,216.503,28.9476,78.567,40.4571,48.5777
42459.58,3,30,2016,14,1.75415,145.831,24.0424,0.35651,1014.14,159.289,28.9229,81.691,41.0745,49.6717
42459.63,3,30,2016,15,1.17163,118.075,23.5216,0.355946,1013.42,40.7635,28.8568,97.452,41.823,53.803
42459.67,3,30,2016,16,1.45443,114.716,23.4187,0.357465,1013.08,41.0278,28.6992,93.532,43.6757,54.99
42459.71,3,30,2016,17,1.85026,96.315,23.1925,0.356727,1013.34,12.651,28.6623,82.763,43.2268,56.205
42459.75,3,30,2016,18,1.55101,99.986,22.8577,0.356727,1013.75,1.13689,28.6691,83.027,43.0257,56.009
42459.79,3,30,2016,19,1.3181,106.2,22.5313,0.357986,1014.28,1.06215,28.1941,79.17,43.7645,54.34
42459.83,3,30,2016,20,1.28986,133.355,22.3346,0.359462,1014.93,1.09436,28.0799,84.565,46.1534,57.782
42459.88,3,30,2016,21,1.23289,126.329,22.0178,0.358464,1015.63,1.06762,28.0732,85.12,44.9649,58.046
42459.92,3,30,2016,22,1.20898,137.13,21.5632,0.358247,1016.18,1.07066,27.9665,89.384,50.865,62.247
42459.96,3,30,2016,23,0.86586,148.019,21.4123,0.35625,1016.12,1.08281,27.9281,103.008,59.298,72.176
42460.00,3,31,2016,0,0.88856,172.489,21.2148,0.355599,1015.84,1.06641,27.5873,88.302,51.805,62.229
42460.04,3,31,2016,1,0.82771,159.729,21.1371,0.35599,1015.31,1.04818,26.3763,80.976,44.5946,55.691
42460.08,3,31,2016,2,1.01682,135.49,20.9889,0.356944,1014.6,1.11745,26.0926,72.655,41.7049,51.156
42460.13,3,31,2016,3,0.83943,131.981,20.8645,0.357378,1014,1.05972,26.0196,81.186,44.4305,55.95
