TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1.3889664e+18,15.0,0.37,1.3,9.2,11.0,39.0,71.0,9.6,47.0,48.013568648079946,0.6,0.9,64.0,36.0
1.38897e+18,15.0,0.32,1.2,7.5,8.7,40.0,73.0,6.8,44.0,47.81208868759208,0.7,0.8,59.0,36.0
1.3889736e+18,14.0,0.35,1.6,10.0,12.0,38.0,74.0,14.0,45.0,47.883640909569415,0.9,0.9,57.0,35.0
1.3889772e+18,14.0,0.32,1.8,10.0,12.0,39.0,74.0,8.6,46.0,47.30518218197131,0.7,1.2,59.0,35.0
1.3889808e+18,14.0,0.33,1.6,13.0,14.0,37.0,76.0,16.0,35.0,47.18568405537727,0.7,0.7,60.0,35.0
1.3889844e+18,14.0,0.32,1.7,12.0,13.0,36.0,77.0,8.8,40.0,46.82164972881884,1.1,0.9,61.0,34.0
1.388988e+18,14.0,0.35,1.2,8.7,10.0,37.0,76.0,3.7,32.0,45.36485757910824,0.8,0.8,59.0,34.0
1.3889916e+18,15.0,0.56,2.0,17.0,19.0,28.0,74.0,3.2,35.0,44.24861934600599,0.9,1.1,61.0,37.0
1.3889952e+18,16.0,0.46,2.9,14.0,16.0,32.0,70.0,3.0,31.0,41.01268371624133,1.0,1.0,62.0,35.0
1.3889988e+18,18.0,0.42,2.9,13.0,16.0,33.0,65.0,3.2,29.0,37.679122901420705,0.9,0.9,61.0,35.0
1.3890024e+18,19.0,0.28,2.6,6.1,8.7,49.0,60.0,3.0,30.0,35.78526745675841,1.3,1.1,60.0,28.0
1.389006e+18,20.0,0.27,1.8,5.7,7.5,53.0,56.0,2.4,22.0,35.01416118243613,1.6,1.7,57.0,18.0
1.3890096e+18,20.0,0.28,1.6,5.6,7.2,53.0,56.0,2.1,23.0,34.087792843691055,2.5,2.0,54.0,18.0
1.3890132e+18,20.0,0.24,1.5,5.7,7.2,53.0,58.0,2.0,24.0,33.61436180473702,1.9,2.1,46.0,16.0
1.3890168e+18,20.0,0.28,1.5,7.3,8.7,52.0,61.0,2.2,24.0,33.7289292011756,1.1,1.6,46.0,18.0
1.3890204e+18,20.0,0.3,1.4,8.9,10.0,50.0,60.0,2.0,28.0,34.167129027138515,0.8,1.2,46.0,17.0
1.389024e+18,20.0,0.42,1.6,14.0,15.0,44.0,59.0,2.0,34.0,35.651572264081466,0.8,1.0,44.0,16.0
1.3890276e+18,19.0,0.45,1.5,16.0,17.0,33.0,68.0,2.0,55.0,38.07681703337188,1.3,1.2,48.0,18.0
1.3890312e+18,18.0,0.61,1.5,21.0,22.0,24.0,73.0,2.4,48.0,41.45730147871389,0.8,0.9,48.0,24.0
1.3890348e+18,17.0,0.62,1.7,25.0,26.0,20.0,74.0,11.0,40.0,45.27073308072833,0.9,0.8,51.0,26.0
1.3890384e+18,17.0,0.47,1.5,19.0,21.0,23.0,75.0,14.0,41.0,47.68148342977385,1.4,1.0,54.0,21.0
1.389042e+18,17.0,0.48,1.4,16.0,18.0,25.0,74.0,16.0,44.0,48.807966573816,0.5,0.9,46.0,17.0
1.3890456e+18,17.0,0.32,1.3,10.0,12.0,31.0,75.0,5.9,31.0,48.6539784494087,0.9,0.9,43.0,16.0
1.3890492e+18,17.0,0.3,1.3,9.0,10.0,30.0,75.0,4.2,37.0,48.317309148265,0.5,0.9,38.0,16.0
1.3890528e+18,17.0,0.33,1.2,11.0,12.0,27.0,77.0,8.7,29.0,48.013568648079946,0.7,0.6,39.0,17.0
1.3890564e+18,17.0,0.24,1.0,6.8,7.9,31.0,77.0,3.0,25.0,47.81208868759208,0.7,0.7,40.0,17.0
1.38906e+18,16.0,0.23,0.9,6.7,7.6,29.0,79.0,3.8,29.0,47.883640909569415,0.7,0.8,37.0,17.0
1.3890636e+18,16.0,0.2,0.6,5.4,5.9,29.0,80.0,2.1,38.0,47.30518218197131,1.1,1.0,35.0,17.0
